"name_telegeography","name_infrapedia","name_submarine_networks","name_wiki"
"Lower Indian Ocean Network 2 (LION2)","Lower Indian Ocean Network 2 (LION2)","",""
"Luwuk Tutuyan Cable System (LTCS)","Luwuk Tutuyan Cable System (LTCS)","",""
"Lynn Canal Fiber","Lynn Canal Fiber","",""
"MAREA","MAREA","MAREA","MAREA"
"MIST","Myanmar/Malaysia India Singapore Transit (MIST)","Myanmar/Malaysia India Singapore Transit (MIST)",""
"Main One",MainOne,"MainOne",""
"MainOne","MainOne","MainOne",""
"Malaysia-Cambodia-Thailand (MCT) Cable","Malaysia-Cambodia-Thailand (MCT) Cable","",""
"Malbec","MALBEC","Malbec",""
"Maldives Sri Lanka Cable (MSC)","Maldives Sri Lanka Cable (MSC)","Maldives Sri Lanka Cable system (MSC)",""
"Malta-Gozo Cable","Malta-Gozo Cable","",""
"Malta-Italy Interconnector","Malta-Italy Interconnector","",""
"Manatua","Manatua","Manatua",""
"Mandji Fiber Optic Cable","Mandji Fiber Optic Cable","COBRA Fiber Optic Cable",""
"Maple Leaf Fibre","","",""
"Mariana-Guam Cable","MTC Interisland Cable System (MICS)/Mariana-Guam Cable","",""
"Maroc Telecom West Africa","Maroc Telecom West Africa","",""
"Mataram Kupang Cable System (MKCS)","Mataram Kupang Cable System (MKCS)","Coral Sea Cable System (CS²)",""
"Matrix Cable System","Matrix Cable System","Bifrost Cable System","Matrix Cable System"
"Mauritius and Rodrigues Submarine Cable System (MARS)","Mauritius and Rodrigues Submarine Cable System (MARS)","Mauritius and Rodrigues Submarine Cable System (MARS)","Mauritius–Rodrigues Submarine Cable (MARS)"
"Maya-1","MAYA-1","MAYA-1","MAYA-1"
"Med Cable Network","Med Cable Network","",""
"MedNautilus Submarine System","MedNautilus Submarine System","MedNautilus Submarine System",""
"Medusa Submarine Cable System","Medusa Submarine Cable System","",""
"Melita 1","Melita-1","",""
"Meltingpot Indianoceanic Submarine System (METISS)","Meltingpot Indianoceanic Submarine System (METISS)","Melting Pot Indianoceanic Submarine System",""
"Mid-Atlantic Crossing (MAC)","Mid-Atlantic Crossing (MAC)","",""
"Middle East North Africa (MENA) Cable System",Middle East North Africa (MENA) Cable System/Gulf Bridge International (GBI) Cable System,"","Middle East North Africa (MENA)"
"Middle East North Africa (MENA) Cable System/Gulf Bridge International","Middle East North Africa (MENA) Cable System/Gulf Bridge International (GBI) Cable System","",Middle East North Africa (MENA)
"Midgardsormen","","",""
"Minoas East and West","Minoas East and West","",""
"Miyazaki-Okinawa Cable (MOC)","Miyazaki-Okinawa Cable (MOC)","",""
"Monet","MONET","MONET","MONET"
"Moratelindo International Cable System-1 (MIC-1)","Moratelindo International Cable System-1 (MIC-1)","",""
"Myanmar-Malaysia-Thailand Interconnect Cable (MYTHIC)","","",""
"Myanmar-Thailand Interconnect Cable (MYTHIC)","","",""
"N0r5ke Viking","N0r5ke Viking","",""
"NO-UK","NO-UK/England Cable","",""
"NYNJ-1","","",""
"National Digital Transmission Network (NDTN)","National Digital Transmission Network (NDTN)","",""
"Nationwide Submarine Cable Ooredoo Maldives (NaSCOM)","Nationwide Submarine Cable Ooredoo Maldives (NaSCOM)","",""
"Natitua","NATITUA","",""
"Natitua Sud","Natitua Sud","",""
"Nelson-Levin","Nelson-Levin","",""
"New Cross Pacific (NCP) Cable System","New Cross Pacific (NCP) Cable System","New Cross Pacific [NCP] Cable System",""
"Nextgen Darwin-Port Hedland","","",""
"Nigeria Cameroon Submarine Cable System (NCSCS)","Nigeria Cameroon Submarine Cable System (NCSCS)","Nigeria-Cameroon Submarine Cable System (NCSCS)",""
"NorSea Com","","","NorSea Com-1"
"NordBalt","NordBalt","",""
"NordBaltEurope","","",""
"North Sea Connect","","North Sea Connect",""
"North Sea Connect (NSC)","","North Sea Connect",""
"North West Cable System","North West Cable System","Bifrost Cable System","Matrix Cable System"
"NorthStar","NorthStar","",""
"Northern Lights","Northern Lights","",""
"Nunavut Undersea Fibre Optic Network System","","",""
"Nzadi Cable System","Nzadi Cable System","",""
"OMRAN/EPEG Cable System","OMRAN/EPEG Cable System","",""
"OTEGLOBE Kokkini-Bari","OTEGLOBE Kokkini-Bari","OTEGlobe Kokkini-Bari",""
"Okinawa Cellular Cable","Okinawa Cellular Cable","",""
"Oman Australia Cable (OAC)","Oman Australia Cable (OAC)","Oman Australia Cable (OAC)","Oman Australia Cable"
"Ooredoo Maldives Domestic Submarine Cable System","","",""
"OptiKor","","",""
"Oran-Valencia (ORVAL)","Alger-Valencia (ALVAL)/Oran-Valencia (ORVAL)","",""
"Orient Express","","",""
"PASULI","Pasuli","",""
"PCCS/Alonso de Ojeda II","","",""
"PEACE Cable","PEACE Cable","","PEACE Cable"
"PENBAL-5","","",""
"PGASCOM","PGASCOM","",""
"PIPE Pacific Cable-1 (PPC-1)","PIPE Pacific Cable-1 (PPC-1)","","PIPE Pacific Cable (PPC-1)"
"PLDT Domestic Fiber Optic Network (DFON)","PLDT Domestic Fiber Optic Network (DFON)","",""
"PNG LNG","PNG LNG","",""
"PNG National Submarine Fibre Cable Network","","PNG National Submarine Cable Network",""
"POSEIDON","POSEIDON","",""
"Pacific Cable","","Pacific Fibre",""
"Pacific Caribbean Cable System (PCCS)","Pacific Caribbean Cable System (PCCS)","Pacific Caribbean Cable System (PCCS)","Pacific Caribbean Cable System (PCCS)"
"Pacific Crossing-1 (PC-1)","Pacific Crossing-1 (PC-1)","","PC-1 (Pacific Crossing 1)"
"Pacific Fibre","","Pacific Fibre",""
"Pacific Light Cable Network (PLCN)","Pacific Light Cable Network (PLCN)","","Pacific Light Cable Network"
"Palapa Ring East","Palapa Ring East","",""
"Palapa Ring Middle","Palapa Ring Middle","",""
"Palapa Ring West","Palapa Ring West","",""
"Palawa-Iloilo Cable System","","",""
"Palawan-Iloilo Cable System","Palawan-Iloilo Cable System","",""
"Pan American (PAN-AM)","","",""
"Pan European Crossing (UK-Belgium)","Pan European Crossing (UK-Belgium)","","Pan European Crossing (PEC)"
"Pan European Crossing (UK-Ireland)","Pan European Crossing (UK-Ireland)","","Pan European Crossing (PEC)"
"Pan-American Crossing (PAC)","Pan-American Crossing (PAC)","Pan-American Crossing (PAC)",""
"Pangea Baltic Ring","","",""
"Pangea North","","",""
"Pangea South","","",""
"Paniolo Cable Network","Paniolo Cable Network","",""
"Penbal-4","Penbal-4","",""
"Penbal-5","PENBAL-5","",""
"Pencan-6","","",""
"Pencan-7","","",""
"Pencan-8","Pencan-8","",""
"Pencan-9","Pencan-9","",""
"Perseid","","",""
"Persona","Persona","",""
"Picot-1","Picot-1 (a.k.a Gondwana-1)","",""
"Pishgaman Oman Iran (POI) Network","Pishgaman Oman Iran (POI) Network","",""
"Polar Circle Cable","Polar Circle Cable","",""
"Polar Express","Polar Express","Polar Express",""
"Polaris","","",""
"Prat","Prat","",""
"Project Express","","",""
"Qatar-U.A.E. Submarine Cable System","Qatar-U.A.E. Submarine Cable System","",""
"Qatar-UAE Submarine Cable System","","",""
"Quellon-Puerto Chacabuco","","",""
"Quintillion Subsea Cable Network","Quintillion Subsea Cable Network","",""
"Raman","Raman","",""
"RedeIlhabela-1","","",""
"Rockabill","Rockabill","",""
"Romulo","Romulo","",""
"Russia-Japan Cable Network (RJCN)","Russia-Japan Cable Network (RJCN)","",""
"Russian Optical Trans-Arctic Cable System (ROTACS)","","",""
"Rønne-Rødvig","Rønne-Rødvig","",""
"S-U-B Cable System","S-U-B Cable System","Bifrost Cable System","ASEAN Cable System"
"SABR","","ARBR",""
"SAFE","South Africa Far East (SAFE)","South Africa Far East (SAFE)","South Africa Far East cable"
"SAT-2","","",""
"SAT-3/WASC","South Atlantic 3/West Africa Submarine Cable (SAT-3/WASC)","SAT-3/WASC",""
"SEA Cable Exchange-1 (SEAX-1)","","SEA Cable Exchange-1 (SeaX-1)",""
"SEA-H2X","","",""
"SEA-US","SEA-US","SEA-US",""
"SEACOM/Tata TGN-Eurasia","SEACOM/Tata TGN-Eurasia","",""
"SEALink","SEALink","",""
"SEAX-1","SEA Cable Exchange-1 (SEAX-1)","SEA Cable Exchange-1 (SeaX-1)",""
"SHEFA-2","SHEFA-2","","SHEFA-2"
"SJJK","SJJK","",""
"SMPCS Packet-1","SMPCS Packet-1","",""
"SMPCS Packet-2","SMPCS Packet-2","",""
"Saba, Statia Cable System (SSCS)","Saba, Statia Cable System (SSCS)","",""
"Saint Maarten Puerto Rico Network One (SMPR-1)","","",""
"Sakhalin-Kuril Islands Cable","Sakhalin-Kuril Islands Cable","",""
"Samoa-American Samoa (SAS)","Samoa-American Samoa (SAS)","",""
"San Andres Isla Tolu Submarine Cable (SAIT)","San Andres Isla Tolu Submarine Cable (SAIT)","",""
"San Andrés-Tolú","","",""
"Sape-Labuan Bajo-Ende-Kupang Cable Systems","Sape-LabuanBajo-Ende-Kupang Cable Systems","",""
"Sape-LabuanBajo-Ende-Kupang Cable Systems","","",""
"Saudi Arabia-Sudan-1 (SAS-1)","Saudi Arabia-Sudan-1 (SAS-1)","",""
"Saudi Arabia-Sudan-2 (SAS-2)","Saudi Arabia-Sudan-2 (SAS-2)","",""
"Saudi Vision","Saudi Vision","Saudi Vision Cable",""
"Scandinavian Ring North","Scandinavian Ring North","",""
"Scandinavian Ring South","Scandinavian Ring South","",""
"Scotland-Northern Ireland 1","Scotland-Northern Ireland 1","",""
"Scotland-Northern Ireland 2","Scotland-Northern Ireland 2","",""
"Scotland-Northern Ireland 3","Scotland-Northern Ireland 3 (SCOT-NI 3)","",""
"Scotland-Northern Ireland 4","Scotland-Northern Ireland 4 (SCOT-NI 4)","",""
"Scylla","Scylla","Scylla",""
"Sea Lion","","",""
"SeaMeWe-3","SEA-ME-WE-3/SeaMeWe-3/SMW-3","",""
"SeaMeWe-4","SEA-ME-WE-4/SeaMeWe-4/SMW-4","",""
"SeaMeWe-5","SEA-ME-WE-5/SeaMeWe-5/SMW-5","",""
"SeaMeWe-6","SEA-ME-WE-6/SeaMeWe-6/SMW-6","",""
"Seabras-1","Seabras-1","Seabras-1",""
"SednaLink Fibre","SednaLink Fibre","",""
"Segunda FOS Canal de Chacao","Segunda FOS Canal de Chacao","",""
"Senegal Horn of Africa Regional Express (SHARE) Cable","Senegal Horn of Africa Regional Express (SHARE) Cable","Senegal Horn of Africa Regional Express (SHARE) Cable",""
"Seychelles to East Africa System (SEAS)","Seychelles to East Africa System (SEAS)","Seychelles East Africa System (SEAS)",""
"Silk Road Gateway-1 (SRG-1)","","",""
"Silk Route Gateway (SRG-1)","","",""
"Silphium","Silphium","Silphium",""
"Singapore-Myanmar (SIGMAR)","Singapore-Myanmar (SIGMAR)","",""
"Sint Maarten Puerto Rico Network One (SMPR-1)","Sint Maarten Puerto Rico Network One (SMPR-1)","",""
"Sir Abu Nu’ayr Cable","Sir Abu Nu’ayr Cable","",""
"Sirius","","",""
"Sirius North","Sirius North","",""
"Sirius South","Sirius South","",""
"Sistem Kabel Rakyat 1Malaysia (SKR1M)","Sistem Kabel Rakyat 1Malaysia (SKR1M)","Sistem Kabel Rakyat 1 Malaysia (SKR1M)",""
"Skagenfiber East","","",""
"Skagenfiber West","Skagenfiber West","Skagen Fiber West",""
"Skagerrak 4","Skagerrak 4","",""
"Solas","SOLAS","",""
"Solomons Islands Submarine Cable (SISC)","","",""
"Solomons Oceanic Cable Network","","",""
"Sorsogon-Samar Submarine Fiber Optical Interconnection Project (SSSFOIP)","Sorsogon-Samar Submarine Fiber Optical Interconnection Project (SSSFOIP)","",""
"South African Marine System (SAMS)","","",""
"South America Pacific Link (SAPL)","","",""
"South America-1 (SAm-1)","South America-1 (SAm-1)","South America-1 Cable Network (SAm-1)",""
"South American Crossing (SAC)","South American Crossing (SAC)","",""
"South American Crossing (SAC)/Latin American Nautilus (LAN)","","",""
"South Asia Express (SAEx2)","","",""
"South Atlantic Cable System (SACS)","South Atlantic Cable System (SACS)","South Atlantic Cable System (SACS)","West Africa Cable System (WACS)"
"South Atlantic Express (SAEx)","","South Atlantic Express (SAEx1)","SAex (South Atlantic Express)"
"South Atlantic Express (SAEx1)","","South Atlantic Express (SAEx1)","SAex (South Atlantic Express)"
"South Atlantic Inter Link (SAIL)","South Atlantic Inter Link (SAIL)","South Atlantic Inter Link (SAIL)",""
"South Pacific Cable System (SPSC)/Mistral","South Pacific Cable System (SPSC)/Mistral","",""
"Southeast Asia-Japan Cable (SJC)","Southeast Asia Japan Cable (SJC)","South-East Asia Japan Cable System","South-East Asia Japan Cable System"
"Southeast Asia-Japan Cable 2 (SJC2)","Southeast Asia-Japan Cable 2 (SJC2)","South-East Asia Japan Cable System","South-East Asia Japan Cable System"
"Southern Caribbean Fiber","Southern Caribbean Fiber (SCF)","","Southern Caribbean Fiber"
"Southern Cross Cable Network","","Southern Cross Cable Network","Southern Cross Cable"
"Southern Cross Cable Network (SCCN)","Southern Cross Cable Network (SCCN)","Southern Cross Cable Network","Southern Cross Cable"
"Southern Cross NEXT","Southern Cross NEXT","Southern Cross NEXT",""
"St. Pierre and Miquelon Cable","St. Pierre and Miquelon Cable","",""
"St. Thomas-St. Croix System","St. Thomas-St. Croix System","",""
"Strategic Evolution Underwater Link (SEUL)","Strategic Evolution Underwater Link (SEUL)","",""
"Subcan Link 1","Subcan Link 1","",""
"Subcan Link 2","Subcan Link 2","",""
"Sumatera Bangka Cable System (SBCS)","Sumatera Bangka Cable System (SBCS)","",""
"Suriname-Guyana Submarine Cable System (SG-SCS)","Suriname Guyana Submarine Cable System (SG-SCS)","",""
"Svalbard Undersea Cable System","","",""
"Swansea-Brean","","",""
"Sweden-Estonia (EE-S 1)","Estonia-Sweden 1 (EE-S 1)","",""
"Sweden-Finland 4 (SFS-4)","Sweden-Finland 4 (SFS-4)","",""
"Sweden-Finland 6","","",""
"Sweden-Finland Link (SFL)","Sweden-Finland Link (SFL)","",""
"Sweden-Latvia","Sweden-Latvia","",""
"SxS","","",""
"TAGIDE 2","","",""
"TAT-14","","TAT-14",""
"TE North","","TE North",""
"TE North/TGN-Eurasia/SEACOM/Alexandros","","",""
"TE North/TGN-Eurasia/SEACOM/Alexandros/Medex","TE North/TGN-Eurasia/SEACOM/Alexandros/Medex","",""
"TEGOPA","Tenerife-La Gomera-La Palma","",""
"TERRA SW","TERRA SW","",""
"TERRA-Aleutian","","",""
"TRANSCAN-2","TRANSCAN 2","",""
"TRANSCAN-3","TRANSCAN-3","",""
"TT-1","TT-1","",""
"Taba-Aqaba","Taba-Aqaba","",""
"Taino-Carib","Taino-Carib","",""
"Taiwan Strait Express-1 (TSE-1)","Taiwan Strait Express-1 (TSE-1)","Taiwan Strait Express-1",""
"Tamares North","Tamares North","",""
"Tampnet Offshore FOC Network","Tampnet Offshore FOC Network","",""
"Tangerine","Tangerine","Tangerine","Tangerine"
"Tanjun Pandan-Sungai Kakap Cable System","Tanjun Pandan-Sungai Kakap Cable System","",""
"Tannat","Tannat","Tannat",""
"Tarakan Selor Cable System (TSCS)","Tarakan Selor Cable System (TSCS)","",""
"Tasman Global Access (TGA) Cable","Tasman Global Access (TGA) Cable","Tasman Global Access (TGA)","Tasman Global Access"
"Tasman-2","","",""
"Tata TGN-Atlantic","Tata TGN Atlantic","TGN-Atlantic",""
"Tata TGN-Gulf","Tata TGN-Gulf","TGN-Gulf",""
"Tata TGN-Intra Asia (TGN-IA)","Tata TGN Intra-Asia (TGN-IA)","TGN-Intra Asia Cable System (TGN-IA)",""
"Tata TGN-Northern Europe","","","VSNL Northern Europe"
"Tata TGN-Pacific","Tata TGN-Pacific","TGN-Pacific","TGN-Pacific"
"Tata TGN-Tata Indicom","Tata TGN-Tata Indicom","",""
"Tata TGN-Western Europe","Tata TGN Western Europe","","VSNL Western Europe"
"Techteledata (TTD) Cable","","",""
"Telstra Endeavour","Telstra Endeavour","Telstra Endeavour",""
"Tenerife-Gran Canaria","Tenerife-Gran Canaria","",""
"Tenerife-La Gomera-La Palma",Tenerife-La Palma (TELAPA),"",""
"Tenerife-La Palma","Tenerife-La Palma (TELAPA)","",""
"Thailand-Indonesia-Singapore (TIS)","Thailand-Indonesia-Singapore (TIS)","Thailand - Indonesia - Singapore Cable Network",""
"The East African Marine System (TEAMS)","The East African Marine System (TEAMS)","","TEAMS (The East African Marine System)"
"Thetis","Thetis","",""
"Tobrok-Emasaed Cable System","Tobrok-Emasaed Cable System","",""
"Tokelau Submarine Cable","Tokelau Submarine Cable","Tui-Samoa submarine cable","Isle of Man Submarine Cable"
"Tonga Cable","Tonga Cable","",""
"Tonga Domestic Cable Extension (TCDE)","","",""
"Tonga Domestic Cable Extension (TDCE)","Tonga Domestic Cable Extension (TDCE)","",""
"Topaz","TOPAZ","Topaz",""
"Trans Adriatic Express","Trans Adriatic Express","Trans Adriatic Express",""
"Trans Caspian Fiber Optic (TCFO)","","",""
"Trans-Pacific Express (TPE) Cable System","Trans-Pacific Express (TPE) Cable System","TPE or Trans-Pacific Express submarine cable system","TPE or Trans-Pacific Express"
"TransCaspian Fiber Optic (TCFO)","","",""
"Transworld (TW1)","Transworld (TW-1)","",""
"Trapani-Kelibia","Trapani-Kelibia (Keltra 2)","",""
"Trident Subsea Cable","","",""
"Tripoli-Benghazi","","",""
"Tui-Samoa","Tui-Samoa","",""
"Turcyos-1","Turcyos-1","",""
"Turcyos-2","Turcyos-2","",""
"Tverrlinken","Tverrlinken","",""
"UAE-Iran","UAE-Iran","",""
"UGARIT","UGARIT","","UGARIT"
"UK-Channel Islands-7","UK-Channel Islands 7","",""
"UK-Channel Islands-8","UK-Channel Islands-8","",""
"UK-France 3","","",""
"UK-Netherlands 14","","",""
"Ultramar GE","Ultramar GE","",""
"Ulysses","","",ULYSSES
"Ulysses 2","ULYSSES 2","",""
"Unisur","UNISUR","","UNISUR"
"Unitel North Submarine Cable (UNSC)","Unitel North Submarine Cable (UNSC)","",""
"Unity","","Unity","Unity"
"Unity/EAC-Pacific","Unity/EAC-Pacific","",""
"Venezuela Festoon","","",""
"Venezuelan Festoon","Venezuelan Festoon","",""
"Vodafone Malta-Sicily Cable System (VMSCS)","","",""
"WALL-LI","WALL-LI","",""
"WARF Submarine Cable","","",""
"WASACE Africa","","",""
"WASACE Americas","","",""
"WASACE Europe","","",""
"West Africa Cable System (WACS)","West Africa Cable System (WACS)","","West Africa Cable System (WACS)"
"West African Cable System (WACS)",West Africa Cable System (WACS),"","West Africa Cable System (WACS)"
"X-Link Submarine Cable","X-Link Submarine Cable","",""
"XL Bali Lombok Submarine Cable System","","",""
"Xiamen-Kinmen Undersea Cable","","",""
"Yellow","Yellow (AC-2)","AC-2/Yellow","Yellow / AC-2"
"Yellow/Atlantic Crossing-2 (AC-2)",Yellow (AC-2),AC-2/Yellow,Yellow / AC-2
"Zeus","Zeus","Zeus",""
"eulaLink","","",""
"i2i Cable Network (i2icn)","i2i Cable Network (I2ICN)","Asia Pacific Cable Network (APCN)","Asia Pacific Gateway (APG)"
"sea2shore","sea2shore","",""
